exp,attack,attack_key,method,f,seed,sigma_mode,sigma_dp,sigma_sel,sigma_rel,eps_certified,is_private,sampling,rounds,acc,accept_rate,wall_sec,status,error,source,timestamp
pC,SF,sf,TrimmedMean,0.1,0,certified,1.0338019195458117,,,,False,poisson,180,0.2657,1.0,220.9,ok,,run,2026-09-09T02:06:49
pC,SF,sf,Krum,0.1,0,certified,1.0338019195458117,,,,False,poisson,180,0.3519,1.0,93.2,ok,,run,2026-09-09T02:08:22
pC,SF,sf,SparseFed-style,0.1,0,certified,1.0338019195458117,,,,False,poisson,180,0.1458,1.0,121.8,ok,,run,2026-09-09T02:10:24
pC,SF,sf,AG-PTR,0.1,0,certified,1.0338019195458117,2.3116513673742034,1.1558256836871017,1.9999999999999976,True,poisson,180,0.3746,0.8888888888888888,105.0,ok,,run,2026-09-09T02:12:09
pC,SF,sf,DP-FedAvg,0.2,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1496,1.0,63.0,ok,,run,2026-09-09T02:13:12
pC,SF,sf,FedVRDP-style,0.2,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1567,1.0,60.3,ok,,run,2026-09-09T02:14:12
pC,SF,sf,Median,0.2,0,certified,1.0338019195458117,,,,False,poisson,180,0.2069,1.0,165.8,ok,,run,2026-09-09T02:16:58
pC,SF,sf,TrimmedMean,0.2,0,certified,1.0338019195458117,,,,False,poisson,180,0.1688,1.0,211.1,ok,,run,2026-09-09T02:20:29
pC,SF,sf,Krum,0.2,0,certified,1.0338019195458117,,,,False,poisson,180,0.362,1.0,87.6,ok,,run,2026-09-09T02:21:57
pC,SF,sf,SparseFed-style,0.2,0,certified,1.0338019195458117,,,,False,poisson,180,0.1638,1.0,116.6,ok,,run,2026-09-09T02:23:54
pC,SF,sf,AG-PTR,0.2,0,certified,1.0338019195458117,2.3116513673742034,1.1558256836871017,1.9999999999999976,True,poisson,180,0.3582,0.85,95.8,ok,,run,2026-09-09T02:25:29
pC,SF,sf,DP-FedAvg,0.3,0,certified,1.0338019195458117,,,2.0,True,poisson,180,0.1267,1.0,56.6,ok,,run,2026-09-09T02:26:26
