exp,attack,attack_key,method,f,seed,sigma_mode,sigma_dp,sigma_sel,sigma_rel,eps_nominal,eps_certified,rounds,acc,accept_rate,wall_sec,status,error,source,timestamp
expD,ALIE,alie,Median (FedAdam),0.2,0,nominal,,,,,,180,0.408,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Median (FedAdam),0.3,0,nominal,,,,,,180,0.1824,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Median (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Median (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Median (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,TrimmedMean (FedAdam),0.0,0,nominal,,,,,,180,0.8256,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,TrimmedMean (FedAdam),0.1,0,nominal,,,,,,180,0.3568,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,TrimmedMean (FedAdam),0.2,0,nominal,,,,,,180,0.2561,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,TrimmedMean (FedAdam),0.3,0,nominal,,,,,,180,0.1714,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,TrimmedMean (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,TrimmedMean (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,TrimmedMean (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Krum (FedAdam),0.0,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Krum (FedAdam),0.1,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Krum (FedAdam),0.2,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Krum (FedAdam),0.3,0,nominal,,,,,,180,0.1542,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Krum (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Krum (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,Krum (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,SparseFed-style (FedAdam),0.0,0,nominal,,,,,,180,0.8708,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,SparseFed-style (FedAdam),0.1,0,nominal,,,,,,180,0.441,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,SparseFed-style (FedAdam),0.2,0,nominal,,,,,,180,0.1458,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,SparseFed-style (FedAdam),0.3,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,SparseFed-style (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:33
expD,ALIE,alie,SparseFed-style (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,SparseFed-style (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (P=I),0.0,0,nominal,,,,,,180,0.2924,0.288889,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (P=I),0.1,0,nominal,,,,,,180,0.1028,0.394444,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (P=I),0.2,0,nominal,,,,,,180,0.1009,0.416667,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (P=I),0.3,0,nominal,,,,,,180,0.2895,0.3,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (P=I),0.4,0,nominal,,,,,,180,0.1101,0.2,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (P=I),0.49,0,nominal,,,,,,180,0.4505,0.055556,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (P=I),0.6,0,nominal,,,,,,180,0.2171,0.016667,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (FedAdam-diag P),0.0,0,nominal,,,,,,180,0.757,0.35,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (FedAdam-diag P),0.1,0,nominal,,,,,,180,0.7536,0.327778,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (FedAdam-diag P),0.2,0,nominal,,,,,,180,0.7347,0.1,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (FedAdam-diag P),0.3,0,nominal,,,,,,180,0.7211,0.111111,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (FedAdam-diag P),0.4,0,nominal,,,,,,180,0.7161,0.083333,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (FedAdam-diag P),0.49,0,nominal,,,,,,180,0.7211,0.088889,,ok,,legacy,2026-09-03T23:28:34
expD,ALIE,alie,AG-PTR (FedAdam-diag P),0.6,0,nominal,,,,,,180,0.3826,0.005556,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,DP-FedAvg (FedAdam),0.0,0,nominal,,,,,,180,0.0984,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,DP-FedAvg (FedAdam),0.1,0,nominal,,,,,,180,0.1172,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,DP-FedAvg (FedAdam),0.2,0,nominal,,,,,,180,0.4761,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,DP-FedAvg (FedAdam),0.3,0,nominal,,,,,,180,0.4189,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,DP-FedAvg (FedAdam),0.4,0,nominal,,,,,,180,0.2319,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,DP-FedAvg (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,DP-FedAvg (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,FedVRDP-style (FedAdam),0.0,0,nominal,,,,,,180,0.5172,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,FedVRDP-style (FedAdam),0.1,0,nominal,,,,,,180,0.574,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,FedVRDP-style (FedAdam),0.2,0,nominal,,,,,,180,0.4869,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,FedVRDP-style (FedAdam),0.3,0,nominal,,,,,,180,0.4278,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,FedVRDP-style (FedAdam),0.4,0,nominal,,,,,,180,0.2605,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,FedVRDP-style (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,FedVRDP-style (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Median (FedAdam),0.0,0,nominal,,,,,,180,0.7789,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Median (FedAdam),0.1,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Median (FedAdam),0.2,0,nominal,,,,,,180,0.5252,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Median (FedAdam),0.3,0,nominal,,,,,,180,0.2189,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Median (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Median (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Median (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,TrimmedMean (FedAdam),0.0,0,nominal,,,,,,180,0.8256,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,TrimmedMean (FedAdam),0.1,0,nominal,,,,,,180,0.6876,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,TrimmedMean (FedAdam),0.2,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,TrimmedMean (FedAdam),0.3,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,TrimmedMean (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,TrimmedMean (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,TrimmedMean (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Krum (FedAdam),0.0,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Krum (FedAdam),0.1,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Krum (FedAdam),0.2,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Krum (FedAdam),0.3,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Krum (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Krum (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,Krum (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,SparseFed-style (FedAdam),0.0,0,nominal,,,,,,180,0.8708,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,SparseFed-style (FedAdam),0.1,0,nominal,,,,,,180,0.3213,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,SparseFed-style (FedAdam),0.2,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,SparseFed-style (FedAdam),0.3,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,SparseFed-style (FedAdam),0.4,0,nominal,,,,,,180,0.1322,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,SparseFed-style (FedAdam),0.49,0,nominal,,,,,,180,0.1027,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,SparseFed-style (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (P=I),0.0,0,nominal,,,,,,180,0.2924,0.288889,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (P=I),0.1,0,nominal,,,,,,180,0.3438,0.194444,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (P=I),0.2,0,nominal,,,,,,180,0.1065,0.277778,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (P=I),0.3,0,nominal,,,,,,180,0.1119,0.211111,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (P=I),0.4,0,nominal,,,,,,180,0.318,0.088889,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (P=I),0.49,0,nominal,,,,,,180,0.3364,0.066667,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (P=I),0.6,0,nominal,,,,,,180,0.0427,0.0,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (FedAdam-diag P),0.0,0,nominal,,,,,,180,0.757,0.35,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (FedAdam-diag P),0.1,0,nominal,,,,,,180,0.7587,0.477778,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (FedAdam-diag P),0.2,0,nominal,,,,,,180,0.7547,0.472222,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (FedAdam-diag P),0.3,0,nominal,,,,,,180,0.7343,0.205556,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (FedAdam-diag P),0.4,0,nominal,,,,,,180,0.7208,0.094444,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (FedAdam-diag P),0.49,0,nominal,,,,,,180,0.633,0.05,,ok,,legacy,2026-09-03T23:28:34
expD,SF,sf,AG-PTR (FedAdam-diag P),0.6,0,nominal,,,,,,180,0.0427,0.0,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,DP-FedAvg (FedAdam),0.0,0,nominal,,,,,,180,0.0984,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,DP-FedAvg (FedAdam),0.1,0,nominal,,,,,,180,0.1019,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,DP-FedAvg (FedAdam),0.2,0,nominal,,,,,,180,0.0878,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,DP-FedAvg (FedAdam),0.3,0,nominal,,,,,,180,0.4082,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,DP-FedAvg (FedAdam),0.4,0,nominal,,,,,,180,0.3786,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,DP-FedAvg (FedAdam),0.49,0,nominal,,,,,,180,0.232,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,DP-FedAvg (FedAdam),0.6,0,nominal,,,,,,180,0.1501,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,FedVRDP-style (FedAdam),0.0,0,nominal,,,,,,180,0.5172,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,FedVRDP-style (FedAdam),0.1,0,nominal,,,,,,180,0.5956,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,FedVRDP-style (FedAdam),0.2,0,nominal,,,,,,180,0.5222,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,FedVRDP-style (FedAdam),0.3,0,nominal,,,,,,180,0.3791,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,FedVRDP-style (FedAdam),0.4,0,nominal,,,,,,180,0.2186,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,FedVRDP-style (FedAdam),0.49,0,nominal,,,,,,180,0.2468,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,FedVRDP-style (FedAdam),0.6,0,nominal,,,,,,180,0.0985,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Median (FedAdam),0.0,0,nominal,,,,,,180,0.7789,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Median (FedAdam),0.1,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Median (FedAdam),0.2,0,nominal,,,,,,180,0.5251,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Median (FedAdam),0.3,0,nominal,,,,,,180,0.0823,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Median (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Median (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Median (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,TrimmedMean (FedAdam),0.0,0,nominal,,,,,,180,0.8256,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,TrimmedMean (FedAdam),0.1,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,TrimmedMean (FedAdam),0.2,0,nominal,,,,,,180,0.2595,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,TrimmedMean (FedAdam),0.3,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,TrimmedMean (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,TrimmedMean (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,TrimmedMean (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Krum (FedAdam),0.0,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Krum (FedAdam),0.1,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Krum (FedAdam),0.2,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Krum (FedAdam),0.3,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Krum (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Krum (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,Krum (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,SparseFed-style (FedAdam),0.0,0,nominal,,,,,,180,0.8708,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,SparseFed-style (FedAdam),0.1,0,nominal,,,,,,180,0.6981,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,SparseFed-style (FedAdam),0.2,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,SparseFed-style (FedAdam),0.3,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,SparseFed-style (FedAdam),0.4,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,SparseFed-style (FedAdam),0.49,0,nominal,,,,,,180,0.0758,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,SparseFed-style (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (P=I),0.0,0,nominal,,,,,,180,0.2924,0.288889,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (P=I),0.1,0,nominal,,,,,,180,0.1015,0.394444,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (P=I),0.2,0,nominal,,,,,,180,0.1021,0.433333,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (P=I),0.3,0,nominal,,,,,,180,0.1736,0.227778,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (P=I),0.4,0,nominal,,,,,,180,0.2858,0.072222,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (P=I),0.49,0,nominal,,,,,,180,0.3713,0.055556,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (P=I),0.6,0,nominal,,,,,,180,0.0427,0.0,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (FedAdam-diag P),0.0,0,nominal,,,,,,180,0.757,0.35,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (FedAdam-diag P),0.1,0,nominal,,,,,,180,0.7591,0.472222,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (FedAdam-diag P),0.2,0,nominal,,,,,,180,0.7504,0.433333,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (FedAdam-diag P),0.3,0,nominal,,,,,,180,0.7496,0.244444,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (FedAdam-diag P),0.4,0,nominal,,,,,,180,0.7304,0.105556,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (FedAdam-diag P),0.49,0,nominal,,,,,,180,0.6329,0.05,,ok,,legacy,2026-09-03T23:28:34
expD,MinMax,minmax,AG-PTR (FedAdam-diag P),0.6,0,nominal,,,,,,180,0.0427,0.0,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,DP-FedAvg (FedAdam),0.0,0,nominal,,,,,,180,0.0984,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,DP-FedAvg (FedAdam),0.1,0,nominal,,,,,,180,0.1023,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,DP-FedAvg (FedAdam),0.2,0,nominal,,,,,,180,0.097,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,DP-FedAvg (FedAdam),0.3,0,nominal,,,,,,180,0.4045,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,DP-FedAvg (FedAdam),0.4,0,nominal,,,,,,180,0.2937,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,DP-FedAvg (FedAdam),0.49,0,nominal,,,,,,180,0.3044,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,DP-FedAvg (FedAdam),0.6,0,nominal,,,,,,180,0.117,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,FedVRDP-style (FedAdam),0.0,0,nominal,,,,,,180,0.5172,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,FedVRDP-style (FedAdam),0.1,0,nominal,,,,,,180,0.5913,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,FedVRDP-style (FedAdam),0.2,0,nominal,,,,,,180,0.4895,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,FedVRDP-style (FedAdam),0.3,0,nominal,,,,,,180,0.3895,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,FedVRDP-style (FedAdam),0.4,0,nominal,,,,,,180,0.3015,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,FedVRDP-style (FedAdam),0.49,0,nominal,,,,,,180,0.3529,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,FedVRDP-style (FedAdam),0.6,0,nominal,,,,,,180,0.2132,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,Median (FedAdam),0.0,0,nominal,,,,,,180,0.7789,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,Median (FedAdam),0.1,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,Median (FedAdam),0.2,0,nominal,,,,,,180,0.5252,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,Median (FedAdam),0.3,0,nominal,,,,,,180,0.2189,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,Median (FedAdam),0.4,0,nominal,,,,,,180,0.0999,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,Median (FedAdam),0.49,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,Median (FedAdam),0.6,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,TrimmedMean (FedAdam),0.0,0,nominal,,,,,,180,0.8256,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,TrimmedMean (FedAdam),0.1,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
expD,MinSum,minsum,TrimmedMean (FedAdam),0.2,0,nominal,,,,,,180,0.1,,,ok,,legacy,2026-09-03T23:28:34
