attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
minsum,MinSum,AG-PTR,0.0,0.3873,0.0,1,0.85,
minsum,MinSum,AG-PTR,0.1,0.3654,0.0,1,0.8055555555555556,
minsum,MinSum,AG-PTR,0.2,0.3503,0.0,1,0.8555555555555555,
minsum,MinSum,AG-PTR,0.3,0.3379,0.0,1,0.6888888888888889,
minsum,MinSum,AG-PTR,0.4,0.2407,0.0,1,0.1666666666666666,
minsum,MinSum,AG-PTR,0.49,0.1066,0.0,1,0.0,
minsum,MinSum,AG-PTR,0.6,0.1066,0.0,1,0.0,
minsum,MinSum,DP-FedAvg,0.0,0.2824,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.1,0.2028,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.2,0.1523,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.3,0.1153,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.4,0.117,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.49,0.0974,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.6,0.1229,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.0,0.3741,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.1,0.2353,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.2,0.1483,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.3,0.1738,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.4,0.1658,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.49,0.1586,0.0,1,1.0,
minsum,MinSum,FedVRDP,0.6,0.1666,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.0,0.335,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.1,0.2199,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.2,0.1394,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.3,0.1402,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.4,0.174,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.49,0.1767,0.0,1,1.0,
minsum,MinSum,FedVRDP-style,0.6,0.1506,0.0,1,1.0,
minsum,MinSum,Krum,0.0,0.3497,0.0,1,1.0,
minsum,MinSum,Krum,0.1,0.3486,0.0,1,1.0,
minsum,MinSum,Krum,0.2,0.3377,0.0,1,1.0,
minsum,MinSum,Krum,0.3,0.1925,0.0,1,1.0,
minsum,MinSum,Krum,0.4,0.1011,0.0,1,1.0,
minsum,MinSum,Krum,0.49,0.0997,0.0,1,1.0,
minsum,MinSum,Krum,0.6,0.1,0.0,1,1.0,
minsum,MinSum,Median,0.0,0.4423,0.0,1,1.0,
minsum,MinSum,Median,0.1,0.3299,0.0,1,1.0,
minsum,MinSum,Median,0.2,0.2069,0.0,1,1.0,
minsum,MinSum,Median,0.3,0.1131,0.0,1,1.0,
minsum,MinSum,Median,0.4,0.1727,0.0,1,1.0,
minsum,MinSum,Median,0.49,0.1404,0.0,1,1.0,
minsum,MinSum,Median,0.6,0.1,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.0,0.4678,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.1,0.3201,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.2,0.2351,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.3,0.1156,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.4,0.1433,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.49,0.1591,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.6,0.1273,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.0,0.4795,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.1,0.287,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.2,0.1686,0.0,1,1.0,
