attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
foe,FoE,FedVRDP,0.6,0.1,0.0,1,1.0,
foe,FoE,FedVRDP-10ep,0.0,0.835,0.0,1,1.0,
foe,FoE,FedVRDP-10ep,0.1,0.8241,0.0,1,1.0,
foe,FoE,FedVRDP-10ep,0.2,0.8165,0.0,1,1.0,
foe,FoE,FedVRDP-10ep,0.3,0.7985,0.0,1,1.0,
foe,FoE,FedVRDP-10ep,0.4,0.759,0.0,1,1.0,
foe,FoE,FedVRDP-10ep,0.49,0.3899,0.0,1,1.0,
foe,FoE,FedVRDP-10ep,0.6,0.1,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.0,0.7542,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.1,0.7395,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.2,0.717,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.3,0.678,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.4,0.4911,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.49,0.1455,0.0,1,1.0,
foe,FoE,FedVRDP-style,0.6,0.1,0.0,1,1.0,
foe,FoE,Krum,0.0,0.712,0.0,1,1.0,
foe,FoE,Krum,0.1,0.7231,0.0,1,1.0,
foe,FoE,Krum,0.2,0.7011,0.0,1,1.0,
foe,FoE,Krum,0.3,0.5562,0.0,1,1.0,
foe,FoE,Krum,0.4,0.004,0.0,1,1.0,
foe,FoE,Krum,0.49,0.1,0.0,1,1.0,
foe,FoE,Krum,0.6,0.1,0.0,1,1.0,
foe,FoE,Median,0.0,0.7698,0.0,1,1.0,
foe,FoE,Median,0.1,0.7312,0.0,1,1.0,
foe,FoE,Median,0.2,0.6655,0.0,1,1.0,
foe,FoE,Median,0.3,0.5202,0.0,1,1.0,
foe,FoE,Median,0.4,0.187,0.0,1,1.0,
foe,FoE,Median,0.49,0.1732,0.0,1,1.0,
foe,FoE,Median,0.6,0.1,0.0,1,1.0,
foe,FoE,SparseFed-style,0.0,0.8037,0.0,1,1.0,
foe,FoE,SparseFed-style,0.1,0.792,0.0,1,1.0,
foe,FoE,SparseFed-style,0.2,0.7787,0.0,1,1.0,
foe,FoE,SparseFed-style,0.3,0.7685,0.0,1,1.0,
