attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
minmax,MinMax,Krum,0.2,0.6189,0.0,1,1.0,
minmax,MinMax,Krum,0.3,0.6224,0.0,1,1.0,
minmax,MinMax,Krum,0.4,0.1,0.0,1,1.0,
minmax,MinMax,Krum,0.49,0.1,0.0,1,1.0,
minmax,MinMax,Krum,0.6,0.0974,0.0,1,1.0,
minmax,MinMax,Median,0.0,0.7415,0.0,1,1.0,
minmax,MinMax,Median,0.1,0.6541,0.0,1,1.0,
minmax,MinMax,Median,0.2,0.4598,0.0,1,1.0,
minmax,MinMax,Median,0.3,0.3319,0.0,1,1.0,
minmax,MinMax,Median,0.4,0.1906,0.0,1,1.0,
minmax,MinMax,Median,0.49,0.2782,0.0,1,1.0,
minmax,MinMax,Median,0.6,0.0974,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.0,0.8003,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.1,0.7408,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.2,0.6308,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.3,0.4366,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.4,0.2802,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.49,0.2186,0.0,1,1.0,
minmax,MinMax,SparseFed-style,0.6,0.2284,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.0,0.8045,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.1,0.7095,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.2,0.5285,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.3,0.2524,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.4,0.2504,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.49,0.2777,0.0,1,1.0,
minmax,MinMax,TrimmedMean,0.6,0.0974,0.0,1,1.0,
minsum,MinSum,AG-PTR,0.0,0.7712,0.0,1,0.9166666666666666,
minsum,MinSum,AG-PTR,0.1,0.7478,0.0,1,0.8388888888888889,
minsum,MinSum,AG-PTR,0.2,0.7423,0.0,1,0.7166666666666667,
minsum,MinSum,AG-PTR,0.3,0.7334,0.0,1,0.5944444444444444,
minsum,MinSum,AG-PTR,0.4,0.6852,0.0,1,0.2888888888888888,
minsum,MinSum,AG-PTR,0.49,0.5758,0.0,1,0.0722222222222222,
minsum,MinSum,AG-PTR,0.6,0.0427,0.0,1,0.0,
minsum,MinSum,DP-FedAvg,0.0,0.6882,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.1,0.6178,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.2,0.5634,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.3,0.4505,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.4,0.1772,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.49,0.1,0.0,1,1.0,
minsum,MinSum,DP-FedAvg,0.6,0.1,0.0,1,1.0,
