sigma_mode,attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
nominal,minmax,MinMax,FedVRDP-style,0.0,0.7628,0.0,1,,
nominal,minmax,MinMax,FedVRDP-style,0.1,0.7047,0.0,1,,
nominal,minmax,MinMax,FedVRDP-style,0.2,0.655,0.0,1,,
nominal,minmax,MinMax,FedVRDP-style,0.3,0.474,0.0,1,,
nominal,minmax,MinMax,FedVRDP-style,0.4,0.3398,0.0,1,,
nominal,minmax,MinMax,FedVRDP-style,0.49,0.2628,0.0,1,,
nominal,minmax,MinMax,FedVRDP-style,0.6,0.3318,0.0,1,,
nominal,minmax,MinMax,Krum,0.0,0.7265,0.0,1,,
nominal,minmax,MinMax,Krum,0.1,0.7158,0.0,1,,
nominal,minmax,MinMax,Krum,0.2,0.7147,0.0,1,,
nominal,minmax,MinMax,Krum,0.3,0.7093,0.0,1,,
nominal,minmax,MinMax,Krum,0.4,0.2057,0.0,1,,
nominal,minmax,MinMax,Krum,0.49,0.0934,0.0,1,,
nominal,minmax,MinMax,Krum,0.6,0.0607,0.0,1,,
nominal,minmax,MinMax,Median,0.0,0.7697,0.0,1,,
nominal,minmax,MinMax,Median,0.1,0.7239,0.0,1,,
nominal,minmax,MinMax,Median,0.2,0.6395,0.0,1,,
nominal,minmax,MinMax,Median,0.3,0.4016,0.0,1,,
nominal,minmax,MinMax,Median,0.4,0.2393,0.0,1,,
nominal,minmax,MinMax,Median,0.49,0.129,0.0,1,,
nominal,minmax,MinMax,Median,0.6,0.0607,0.0,1,,
nominal,minmax,MinMax,SparseFed-style,0.0,0.8003,0.0,1,,
nominal,minmax,MinMax,SparseFed-style,0.1,0.733,0.0,1,,
nominal,minmax,MinMax,SparseFed-style,0.2,0.6816,0.0,1,,
nominal,minmax,MinMax,SparseFed-style,0.3,0.6433,0.0,1,,
nominal,minmax,MinMax,SparseFed-style,0.4,0.5839,0.0,1,,
nominal,minmax,MinMax,SparseFed-style,0.49,0.4331,0.0,1,,
nominal,minmax,MinMax,SparseFed-style,0.6,0.1849,0.0,1,,
nominal,minmax,MinMax,TrimmedMean,0.0,0.8002666666666666,0.013197474505879232,3,1.0,0.0
nominal,minmax,MinMax,TrimmedMean,0.1,0.7149,0.0,1,,
nominal,minmax,MinMax,TrimmedMean,0.2,0.6573,0.0,1,,
nominal,minmax,MinMax,TrimmedMean,0.3,0.5373,0.0,1,,
nominal,minmax,MinMax,TrimmedMean,0.4,0.19436666666666666,0.02657392205402382,3,1.0,0.0
nominal,minmax,MinMax,TrimmedMean,0.49,0.1365,0.0,1,,
nominal,minmax,MinMax,TrimmedMean,0.6,0.0607,0.0,1,,
nominal,minsum,MinSum,AG-PTR,0.0,0.761,0.0,1,0.977778,
nominal,minsum,MinSum,AG-PTR,0.1,0.7591,0.0,1,0.955556,
nominal,minsum,MinSum,AG-PTR,0.2,0.7566,0.0,1,0.9,
nominal,minsum,MinSum,AG-PTR,0.3,0.7412,0.0,1,0.55,
nominal,minsum,MinSum,AG-PTR,0.4,0.7204,0.0,1,0.355556,
nominal,minsum,MinSum,AG-PTR,0.49,0.6518,0.0,1,0.127778,
nominal,minsum,MinSum,AG-PTR,0.6,0.0427,0.0,1,0.0,
nominal,minsum,MinSum,DP-FedAvg,0.0,0.7238,0.0,1,,
nominal,minsum,MinSum,DP-FedAvg,0.1,0.6878,0.0,1,,
nominal,minsum,MinSum,DP-FedAvg,0.2,0.5607,0.0,1,,
nominal,minsum,MinSum,DP-FedAvg,0.3,0.4645,0.0,1,,
nominal,minsum,MinSum,DP-FedAvg,0.4,0.328,0.0,1,,
nominal,minsum,MinSum,DP-FedAvg,0.49,0.304,0.0,1,,
nominal,minsum,MinSum,DP-FedAvg,0.6,0.0953,0.0,1,,
nominal,minsum,MinSum,FedVRDP-style,0.0,0.7628,0.0,1,,
nominal,minsum,MinSum,FedVRDP-style,0.1,0.7055,0.0,1,,
nominal,minsum,MinSum,FedVRDP-style,0.2,0.6683,0.0,1,,
nominal,minsum,MinSum,FedVRDP-style,0.3,0.444,0.0,1,,
nominal,minsum,MinSum,FedVRDP-style,0.4,0.4041,0.0,1,,
nominal,minsum,MinSum,FedVRDP-style,0.49,0.3512,0.0,1,,
nominal,minsum,MinSum,FedVRDP-style,0.6,0.3259,0.0,1,,
nominal,minsum,MinSum,Krum,0.0,0.7265,0.0,1,,
nominal,minsum,MinSum,Krum,0.1,0.7123,0.0,1,,
nominal,minsum,MinSum,Krum,0.2,0.7171,0.0,1,,
nominal,minsum,MinSum,Krum,0.3,0.6848,0.0,1,,
nominal,minsum,MinSum,Krum,0.4,0.16,0.0,1,,
nominal,minsum,MinSum,Krum,0.49,0.1,0.0,1,,
nominal,minsum,MinSum,Krum,0.6,0.1212,0.0,1,,
nominal,minsum,MinSum,Median,0.0,0.7697,0.0,1,,
nominal,minsum,MinSum,Median,0.1,0.7239,0.0,1,,
nominal,minsum,MinSum,Median,0.2,0.6395,0.0,1,,
nominal,minsum,MinSum,Median,0.3,0.4016,0.0,1,,
nominal,minsum,MinSum,Median,0.4,0.2417,0.0,1,,
nominal,minsum,MinSum,Median,0.49,0.1834,0.0,1,,
nominal,minsum,MinSum,Median,0.6,0.1212,0.0,1,,
nominal,minsum,MinSum,SparseFed-style,0.0,0.8003,0.0,1,,
nominal,minsum,MinSum,SparseFed-style,0.1,0.7432,0.0,1,,
