Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-IID,MinSum,TrimmedMean,0.2,0.6382,1.0
Fashion-MNIST-IID,MinSum,Krum,0.2,0.7102,1.0
Fashion-MNIST-IID,MinSum,SparseFed-style,0.2,0.7019,1.0
Fashion-MNIST-IID,MinSum,AG-PTR,0.2,0.7658,0.8611111111111112
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.3,0.4695,1.0
Fashion-MNIST-IID,MinSum,Median,0.3,0.516,1.0
Fashion-MNIST-IID,MinSum,TrimmedMean,0.3,0.5557,1.0
Fashion-MNIST-IID,MinSum,Krum,0.3,0.7137,1.0
Fashion-MNIST-IID,MinSum,SparseFed-style,0.3,0.6086,1.0
Fashion-MNIST-IID,MinSum,AG-PTR,0.3,0.7629,0.6333333333333333
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.4,0.298,1.0
Fashion-MNIST-IID,MinSum,Median,0.4,0.1993,1.0
Fashion-MNIST-IID,MinSum,TrimmedMean,0.4,0.1894,1.0
Fashion-MNIST-IID,MinSum,Krum,0.4,0.1146,1.0
Fashion-MNIST-IID,MinSum,SparseFed-style,0.4,0.4893,1.0
Fashion-MNIST-IID,MinSum,AG-PTR,0.4,0.7314,0.3555555555555555
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.49,0.26,1.0
Fashion-MNIST-IID,MinSum,Median,0.49,0.1279,1.0
Fashion-MNIST-IID,MinSum,TrimmedMean,0.49,0.1452,1.0
Fashion-MNIST-IID,MinSum,Krum,0.49,0.1,1.0
Fashion-MNIST-IID,MinSum,SparseFed-style,0.49,0.4455,1.0
Fashion-MNIST-IID,MinSum,AG-PTR,0.49,0.6524,0.1333333333333333
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.6,0.0991,1.0
Fashion-MNIST-IID,MinSum,Median,0.6,0.1,1.0
Fashion-MNIST-IID,MinSum,TrimmedMean,0.6,0.1,1.0
Fashion-MNIST-IID,MinSum,Krum,0.6,0.1,1.0
Fashion-MNIST-IID,MinSum,SparseFed-style,0.6,0.165,1.0
Fashion-MNIST-IID,MinSum,AG-PTR,0.6,0.0427,0.0
Fashion-MNIST-IID,LF,DP-FedAvg,0.0,0.7087,1.0
Fashion-MNIST-IID,LF,Median,0.0,0.7698,1.0
Fashion-MNIST-IID,LF,TrimmedMean,0.0,0.805,1.0
Fashion-MNIST-IID,LF,Krum,0.0,0.712,1.0
Fashion-MNIST-IID,LF,SparseFed-style,0.0,0.8037,1.0
Fashion-MNIST-IID,LF,AG-PTR,0.0,0.7728,0.9444444444444444
Fashion-MNIST-IID,LF,DP-FedAvg,0.1,0.665,1.0
Fashion-MNIST-IID,LF,Median,0.1,0.771,1.0
Fashion-MNIST-IID,LF,TrimmedMean,0.1,0.7937,1.0
Fashion-MNIST-IID,LF,Krum,0.1,0.7111,1.0
Fashion-MNIST-IID,LF,SparseFed-style,0.1,0.7943,1.0
Fashion-MNIST-IID,LF,AG-PTR,0.1,0.7622,0.9111111111111112
Fashion-MNIST-IID,LF,DP-FedAvg,0.2,0.5932,1.0
Fashion-MNIST-IID,LF,Median,0.2,0.753,1.0
Fashion-MNIST-IID,LF,TrimmedMean,0.2,0.7811,1.0
Fashion-MNIST-IID,LF,Krum,0.2,0.7209,1.0
Fashion-MNIST-IID,LF,SparseFed-style,0.2,0.7869,1.0
Fashion-MNIST-IID,LF,AG-PTR,0.2,0.7676,0.9
Fashion-MNIST-IID,LF,DP-FedAvg,0.3,0.5071,1.0
Fashion-MNIST-IID,LF,Median,0.3,0.7617,1.0
Fashion-MNIST-IID,LF,TrimmedMean,0.3,0.766,1.0
Fashion-MNIST-IID,LF,Krum,0.3,0.7174,1.0
Fashion-MNIST-IID,LF,SparseFed-style,0.3,0.7739,1.0
Fashion-MNIST-IID,LF,AG-PTR,0.3,0.7572,0.8555555555555555
Fashion-MNIST-IID,LF,DP-FedAvg,0.4,0.4083,1.0
Fashion-MNIST-IID,LF,Median,0.4,0.7431,1.0
Fashion-MNIST-IID,LF,TrimmedMean,0.4,0.7451,1.0
Fashion-MNIST-IID,LF,Krum,0.4,0.7292,1.0
Fashion-MNIST-IID,LF,SparseFed-style,0.4,0.705,1.0
Fashion-MNIST-IID,LF,AG-PTR,0.4,0.7523,0.5222222222222223
Fashion-MNIST-IID,LF,DP-FedAvg,0.49,0.3263,1.0
Fashion-MNIST-IID,LF,Median,0.49,0.4787,1.0
Fashion-MNIST-IID,LF,TrimmedMean,0.49,0.4717,1.0
Fashion-MNIST-IID,LF,Krum,0.49,0.736,1.0
Fashion-MNIST-IID,LF,SparseFed-style,0.49,0.4589,1.0
Fashion-MNIST-IID,LF,AG-PTR,0.49,0.7149,0.2555555555555555
Fashion-MNIST-IID,LF,DP-FedAvg,0.6,0.2307,1.0
Fashion-MNIST-IID,LF,Median,0.6,0.0585,1.0
Fashion-MNIST-IID,LF,TrimmedMean,0.6,0.0602,1.0
Fashion-MNIST-IID,LF,Krum,0.6,0.0156,1.0
Fashion-MNIST-IID,LF,SparseFed-style,0.6,0.1247,1.0
Fashion-MNIST-IID,LF,AG-PTR,0.6,0.2284,0.0222222222222222
Fashion-MNIST-IID,FoE,DP-FedAvg,0.0,0.7087,1.0
Fashion-MNIST-IID,FoE,Median,0.0,0.7698,1.0
Fashion-MNIST-IID,FoE,TrimmedMean,0.0,0.805,1.0
Fashion-MNIST-IID,FoE,Krum,0.0,0.712,1.0
Fashion-MNIST-IID,FoE,SparseFed-style,0.0,0.8037,1.0
Fashion-MNIST-IID,FoE,AG-PTR,0.0,0.7728,0.9444444444444444
Fashion-MNIST-IID,FoE,DP-FedAvg,0.1,0.6849,1.0
Fashion-MNIST-IID,FoE,Median,0.1,0.7312,1.0
Fashion-MNIST-IID,FoE,TrimmedMean,0.1,0.7764,1.0
Fashion-MNIST-IID,FoE,Krum,0.1,0.7231,1.0
Fashion-MNIST-IID,FoE,SparseFed-style,0.1,0.792,1.0
Fashion-MNIST-IID,FoE,AG-PTR,0.1,0.7605,0.9388888888888888
Fashion-MNIST-IID,FoE,DP-FedAvg,0.2,0.6724,1.0
Fashion-MNIST-IID,FoE,Median,0.2,0.6655,1.0
